dataset,seed,group,group_role,test_group_total,positive_label_count,negative_label_count,positive_label_rate,recall_denominator,no_positive_labels,exploratory
German Credit,7,g0,focus,91,60,31,0.6593406593406593,60,FALSE,TRUE
German Credit,7,g1,comparison,209,150,59,0.7177033492822966,150,FALSE,TRUE
German Credit,13,g0,focus,82,54,28,0.6585365853658537,54,FALSE,TRUE
German Credit,13,g1,comparison,218,156,62,0.7155963302752294,156,FALSE,TRUE
German Credit,21,g0,focus,86,56,30,0.6511627906976745,56,FALSE,TRUE
German Credit,21,g1,comparison,214,154,60,0.719626168,154,FALSE,TRUE
German Credit,37,g0,focus,102,70,32,0.6862745098039216,70,FALSE,TRUE
German Credit,37,g1,comparison,198,140,58,0.7070707070707071,140,FALSE,TRUE
German Credit,55,g0,focus,87,57,30,0.6551724137931034,57,FALSE,TRUE
German Credit,55,g1,comparison,213,153,60,0.7183098591549296,153,FALSE,TRUE
German Credit,99,g0,focus,96,63,33,0.65625,63,FALSE,TRUE
German Credit,99,g1,comparison,204,147,57,0.7205882352941176,147,FALSE,TRUE
