dataset,model,seed,rate,accuracy,recall_g0,recall_g1,masking_gap,exploratory
Adult Income,RF,55,0.1,0.845634,0.501449,0.569507,0.041803,False
Adult Income,RF,55,0.2,0.834783,0.431884,0.499253,0.100517,False
Adult Income,XGB,55,0.0,0.869895,0.611594,0.672147,0.0,False
Adult Income,XGB,55,0.05,0.864367,0.573913,0.637768,0.032153,False
Adult Income,XGB,55,0.1,0.855871,0.53913,0.598406,0.05844,False
Adult Income,XGB,55,0.2,0.843894,0.486957,0.535127,0.098637,False
Adult Income,LGB,55,0.0,0.873273,0.602899,0.666168,0.0,False
Adult Income,LGB,55,0.05,0.868666,0.571014,0.630294,0.027278,False
Adult Income,LGB,55,0.1,0.85802,0.521739,0.576981,0.065907,False
Adult Income,LGB,55,0.2,0.845839,0.472464,0.501744,0.103001,False
Adult Income,MLP,55,0.0,0.849422,0.489855,0.600399,0.0,False
Adult Income,MLP,55,0.05,0.843894,0.472464,0.568012,0.011864,False
Adult Income,MLP,55,0.1,0.838673,0.469565,0.532636,0.009542,False
Adult Income,MLP,55,0.2,0.831201,0.428986,0.485301,0.042649,False
Adult Income,LR,99,0.0,0.821476,0.193939,0.457962,0.0,False
Adult Income,LR,99,0.05,0.820145,0.184848,0.43818,0.00776,False
Adult Income,LR,99,0.1,0.816767,0.184848,0.405045,0.004382,False
Adult Income,LR,99,0.2,0.808066,0.163636,0.346686,0.016893,False
Adult Income,RF,99,0.0,0.860068,0.539394,0.633037,0.0,False
Adult Income,RF,99,0.05,0.854847,0.5,0.607319,0.034173,False
Adult Income,RF,99,0.1,0.849217,0.484848,0.569238,0.043695,False
Adult Income,RF,99,0.2,0.838366,0.409091,0.501484,0.108602,False
Adult Income,XGB,99,0.0,0.86754,0.563636,0.660732,0.0,False
Adult Income,XGB,99,0.05,0.864879,0.536364,0.635509,0.024611,False
Adult Income,XGB,99,0.1,0.858327,0.515152,0.594461,0.039272,False
Adult Income,XGB,99,0.2,0.845737,0.427273,0.528684,0.11456,False
Adult Income,LGB,99,0.0,0.872044,0.542424,0.654303,0.0,False
Adult Income,LGB,99,0.05,0.867643,0.515152,0.629575,0.022871,False
Adult Income,LGB,99,0.1,0.860068,0.490909,0.588526,0.039538,False
Adult Income,LGB,99,0.2,0.84676,0.433333,0.515331,0.083807,False
Adult Income,MLP,99,0.0,0.845839,0.448485,0.6182,0.0,False
Adult Income,MLP,99,0.05,0.843587,0.433333,0.605341,0.012899,False
Adult Income,MLP,99,0.1,0.841028,0.415152,0.581602,0.028522,False
Adult Income,MLP,99,0.2,0.829768,0.375758,0.527695,0.056656,False
COMPAS,LR,42,0.0,0.675505,0.734432,0.467742,0.0,False
COMPAS,LR,42,0.05,0.671086,0.727106,0.471774,0.002907,False
COMPAS,LR,42,0.1,0.667298,0.71978,0.487903,0.006445,False
COMPAS,LR,42,0.2,0.65846,0.71978,0.479839,-0.002393,False
COMPAS,RF,42,0.0,0.651515,0.672161,0.580645,0.0,False
COMPAS,RF,42,0.05,0.64899,0.681319,0.568548,-0.011683,False
COMPAS,RF,42,0.1,0.641414,0.675824,0.584677,-0.013764,False
COMPAS,RF,42,0.2,0.626263,0.673993,0.568548,-0.027084,False
COMPAS,XGB,42,0.0,0.660354,0.661172,0.520161,0.0,False
COMPAS,XGB,42,0.05,0.650253,0.666667,0.528226,-0.015596,False
COMPAS,XGB,42,0.1,0.645202,0.668498,0.540323,-0.022478,False
COMPAS,XGB,42,0.2,0.635101,0.677656,0.544355,-0.041736,False
COMPAS,LGB,42,0.0,0.665404,0.67033,0.483871,0.0,False
COMPAS,LGB,42,0.05,0.657828,0.67033,0.504032,-0.007576,False
COMPAS,LGB,42,0.1,0.653409,0.67033,0.508065,-0.011995,False
COMPAS,LGB,42,0.2,0.645833,0.677656,0.508065,-0.026897,False
COMPAS,MLP,42,0.0,0.674242,0.663004,0.403226,0.0,False
COMPAS,MLP,42,0.05,0.669192,0.653846,0.403226,0.004107,False
COMPAS,MLP,42,0.1,0.670455,0.650183,0.427419,0.009033,False
COMPAS,MLP,42,0.2,0.660354,0.635531,0.399194,0.013584,False
COMPAS,LR,123,0.0,0.669192,0.732448,0.490637,0.0,False
COMPAS,LR,123,0.05,0.662879,0.721063,0.483146,0.005072,False
COMPAS,LR,123,0.1,0.660354,0.71537,0.494382,0.008239,False
COMPAS,LR,123,0.2,0.646465,0.70778,0.490637,0.001941,False
COMPAS,RF,123,0.0,0.635101,0.677419,0.546816,0.0,False
COMPAS,RF,123,0.05,0.631313,0.677419,0.535581,-0.003788,False
COMPAS,RF,123,0.1,0.623106,0.673624,0.531835,-0.0082,False
COMPAS,RF,123,0.2,0.607323,0.633776,0.513109,0.015865,False
COMPAS,XGB,123,0.0,0.67298,0.713472,0.490637,0.0,False
